filename,subject,medium,location
bud_iron1.jpg,Church Window,Blacksmithing,Budapest
bud_iron2.jpg,Door Valence,Blacksmithing,Budapest
danube1b.jpg,Balcony Railing,Blacksmithing,Danube River Basin
danube2.jpg,Casino Grand Staircase,Blacksmithing,Danube River Basin
danube3.jpg,Church Fence,Blacksmithing,Danube River Basin
danube4.jpg,Museum Railing,Blacksmithing,Danube River Basin
danube5.jpg,Door Grill,Blacksmithing,Danube River Basin
aquariumfresco.jpg,Aquarium Fresco,Other,Budapest
aquariumneuvous1.jpg,Aquarium Ceramics,Ceramics,Budapest
architecturalfeaturebratslava.jpg,Architectural Decoration,Other,Bratislava
architecturalfeaturebratslava2.jpg,Architectural Decoration,Other,Bratislava
architecturalfeaturebratslava3.jpg,Architectural Decoration,Other,Bratislava
architecturalfeaturebratslava4.jpg,Architectural Decoration,Other,Bratislava
architecturalfeaturebratslava5.jpg,Architectural Decoration,Other,Bratislava
belgradeblindfiddler.jpg,Blind Fiddler,Sculpture,Bratislava
birdsculpturesromania.jpg,Birds,Sculpture,Romania
bronzeandglasspevsner.jpg,Bronze and Glass,Sculpture,Nedbalka
bronzecubist.jpg,Cubist Bronze,Sculpture,Nedbalka
bronzedoorsbratislava.jpg,Bronze Doors,Other,Nedbalka
bronzefemalesNedbalka.jpg,Bronze Females,Sculpture,Nedbalka
bronzefigurebratilava.jpg,Bronze Figure,Sculpture,Nedbalka
bronzefigurejankovic.jpg,Jankovic Bronze,Sculpture,Nedbalka
bronzefigureslovakia.jpg,Bronze Figure,Sculpture,Nedbalka
bronzegirlbartfay.jpg,Bronze Girl,Sculpture,Nedbalka
brutalistsculpture1.jpg,Brutalist Sculpture,Sculpture,Nedbalka
brutalistsculpture2.jpg,Brutalist Sculpture,Sculpture,Nedbalka
cafesign.jpg,Cafe Sign,Blacksmithing,Danube River Basin
cascinostaircase.jpg,Casino Grand Staircase,Blacksmithing,Danube River Basin
casinobird.jpg,Casino Exterior,Other,Danube River Basin
casinochandelier.jpg,Casino Chandelier,Other,Danube River Basin
casinolightfixture.jpg,Casino Light Fixture,Blacksmithing,Danube River Basin
casinoneuvousglass.jpg,Casino Glass Windows,Other,Danube River Basin
churchfence.jpg,Church Fence,Blacksmithing,Novi Sad
churchromainia.jpg,Romanian Church,Other,Romania
churchstatue.jpg,Church Statue,Sculpture,Danube River Basin
churchwindowiron.jpg,Church Ironwork,Blacksmithing,Danube River Basin
cobblestones.jpg,Cobblestone Patterns,Other,Danube River Basin
crouchingman.jpg,Crouching Man,Sculpture,Danube River Basin
cyrilbratslavaslovakia.jpg,Cyril Sculpture,Sculpture,Bratislava
doorsneuvous.jpg,Art Nouveau Doors,Other,Danube River Basin
dowreychestvukovar.jpg,Dowrey Chest,Other,Vukovar
duraJaksicserbia.jpg,Jaksic Sculpture,Sculpture,Budapest
fenceflower.jpg,Fence Flower,Blacksmithing,Bratislava
fencegrate.jpg,Fence Grate,Blacksmithing,Danube River Basin
fisherpalaceruma.jpg,Fisher Palace,Sculpture,Romania
gargoyle.jpg,Gargoyle,Sculpture,Danube River Basin
girlwithravensslovakia.jpg,Girl with Ravens,Sculpture,Slovakia
heavyironwindow.jpg,Heavy Iron Window,Blacksmithing,Danube River Basin
herossquarebudapest1.jpg,Heroes Square,Blacksmithing,Budapest
herossquarebudapest2.jpg,Heroes Square,Blacksmithing,Budapest
holocaustmemorialslovakia.jpg,Holocaust Memorial,Sculpture,Slovakia
ironcover1.jpg,Street Covers,Other,Danube River Basin
ironcover2.jpg,Street Covers,Other,Danube River Basin
ironcover3.jpg,Street Covers,Other,Danube River Basin
ironcover4.jpg,Street Covers,Other,Danube River Basin
ironcover5.jpg,Street Covers,Other,Danube River Basin
ironcoverpecs.jpg,Street Covers,Other,Pecs
irongazebo.jpg,Gazebo,Blacksmithing,Budapest
ironworknovisad.jpg,Ironwork,Sculpture,Novi Sad
